id,title,type,release_year,age_certification,runtime,genres,production_countries,seasons,imdb_id,imdb_score,imdb_votes,imdb_popularity,YearGroup,IMDb Score Bins
tm95252,The Book of Eli,MOVIE,2010,R,118,"['thriller', 'action', 'drama', 'european']",['US'],0,tt1037705,6.8,312538,25.45,2010,6
tm102337,A Nightmare on Elm Street,MOVIE,2010,R,95,"['horror', 'thriller', 'crime', 'drama']",['US'],0,tt1179056,5.2,99192,46.304,2010,4
tm90864,Due Date,MOVIE,2010,R,95,"['drama', 'comedy']",['US'],0,tt1231583,6.5,339626,31.661,2010,6
tm101249,Cop Out,MOVIE,2010,R,107,"['comedy', 'thriller', 'action', 'crime']",['US'],0,tt1385867,5.5,87673,10.863,2010,4
tm101334,Death at a Funeral,MOVIE,2010,R,92,['comedy'],['US'],0,tt1321509,5.6,49599,11.687,2010,4
tm170442,Margin Call,MOVIE,2011,R,107,"['thriller', 'drama']",['US'],0,tt1615147,7.1,125883,17.311,2010,6
tm41792,Django Unchained,MOVIE,2012,R,165,"['western', 'drama']",['US'],0,tt1853728,8.4,1472668,56.588,2010,8
tm50018,Looper,MOVIE,2012,R,119,"['thriller', 'scifi', 'drama', 'crime', 'action']",['US'],0,tt1276104,7.4,566791,48.347,2010,6
tm37153,Killing Them Softly,MOVIE,2012,R,104,"['crime', 'thriller', 'drama']",['US'],0,tt1767297,6.2,141289,15.681,2010,6
tm59428,Silver Linings Playbook,MOVIE,2012,R,122,"['drama', 'romance', 'comedy']",['US'],0,tt1045658,7.7,697481,26.254,2010,6
tm68272,Project X,MOVIE,2012,R,88,['comedy'],['US'],0,tt1636826,6.6,204959,168.423,2010,6
tm172716,Final Destination 5,MOVIE,2011,R,92,"['horror', 'thriller', 'action', 'fantasy', 'documentation', 'european']",['US'],0,tt1622979,5.9,114505,63.749,2010,4
tm40319,Savages,MOVIE,2012,R,131,"['thriller', 'action', 'crime', 'drama']",['US'],0,tt1615065,6.4,129199,16.038,2010,6
tm173624,Hall Pass,MOVIE,2011,R,105,"['romance', 'comedy']",['US'],0,tt0480687,5.9,125098,27.533,2010,4
tm160371,A Very Harold & Kumar Christmas,MOVIE,2011,R,108,"['comedy', 'fantasy', 'romance']",['US'],0,tt1268799,6.2,69241,16.887,2010,6
tm106278,Everything Must Go,MOVIE,2011,R,97,"['comedy', 'drama']",['US'],0,tt1531663,6.4,50431,7.287,2010,6
tm28171,Bill Burr: You People Are All The Same,MOVIE,2012,R,68,['comedy'],['US'],0,tt2290153,8.2,7370,7.25,2010,8
tm34331,Middle of Nowhere,MOVIE,2012,R,101,['drama'],['US'],0,tt1211890,6.5,1818,3.689,2010,6
tm31739,Joan Rivers: Don't Start with Me,MOVIE,2012,R,68,['comedy'],['US'],0,tt2519318,6.6,408,2.277,2010,6
tm65765,6 Bullets,MOVIE,2012,R,115,"['thriller', 'drama', 'action', 'crime']",['US'],0,tt1975249,6,14898,25.607,2010,6
tm48579,Katt Williams: Kattpacalypse,MOVIE,2012,R,60,['comedy'],['US'],0,tt2370686,5.5,635,2.392,2010,4
tm151663,Nightcrawler,MOVIE,2014,R,118,"['crime', 'thriller', 'drama']",['US'],0,tt2872718,7.8,523686,54.186,2010,6
tm169422,Her,MOVIE,2013,R,126,"['drama', 'romance', 'scifi']",['US'],0,tt1798709,8,586679,29.436,2010,8
tm171042,The Call,MOVIE,2013,R,94,"['crime', 'thriller', 'drama', 'horror', 'european']",['US'],0,tt1911644,6.7,120475,36.703,2010,6
tm183523,Oldboy,MOVIE,2013,R,104,"['thriller', 'action', 'drama']",['US'],0,tt1321511,5.7,75015,18.58,2010,4
tm143227,Begin Again,MOVIE,2013,R,104,"['comedy', 'music', 'romance', 'drama']",['US'],0,tt1980929,7.4,154049,17.267,2010,6
tm160621,The Conjuring,MOVIE,2013,R,107,"['thriller', 'horror']",['US'],0,tt1457767,7.5,491048,150.432,2010,6
tm148671,A Walk Among the Tombstones,MOVIE,2014,R,113,"['drama', 'thriller', 'action', 'crime']",['US'],0,tt0365907,6.5,120389,73.108,2010,6
tm182429,Olympus Has Fallen,MOVIE,2013,R,119,"['thriller', 'action', 'drama']",['US'],0,tt2302755,6.5,272334,84.497,2010,6
tm151807,Creep,MOVIE,2014,R,77,"['horror', 'thriller']",['US'],0,tt2428170,6.3,52233,13.284,2010,6
tm181270,The Frozen Ground,MOVIE,2013,R,105,"['thriller', 'drama', 'crime']",['US'],0,tt2005374,6.4,62183,11.872,2010,6
tm168400,Empire State,MOVIE,2013,R,94,"['drama', 'crime', 'thriller', 'action', 'european']",['US'],0,tt2171867,5.2,21368,42.802,2010,4
tm184608,Texas Chainsaw 3D,MOVIE,2013,R,92,"['horror', 'thriller']",['US'],0,tt1572315,4.8,49312,46.799,2010,4
tm142856,Sabotage,MOVIE,2014,R,109,"['drama', 'thriller', 'western', 'action', 'crime']",['US'],0,tt1742334,5.7,63007,27.573,2010,4
tm178211,Life of Crime,MOVIE,2013,R,94,"['comedy', 'crime']",['US'],0,tt1663207,5.8,18793,15.068,2010,4
tm181533,The Big Wedding,MOVIE,2013,R,90,"['comedy', 'drama', 'romance']",['US'],0,tt1931435,5.6,49549,8.928,2010,4
tm148976,The Battered Bastards of Baseball,MOVIE,2014,R,80,"['documentation', 'sport']",['US'],0,tt3445270,8,3953,6.34,2010,8
